Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2009-03-01,1218,0.15,1.31,1.24,14.62,2.17,2.35,2.33,0.19,118.56,2.21,12.33,7.51,11.45,0.82,6.44,0.14,0.15,-0.35,38.19,54.96,50.45,50.45,58.37,-2.76,-4.23,0.16,116.12,63.33,40.43,59.57,147.33,194.93,1.34,1.46,543624.0,63.96,6.55,0.91,-321094.0,101.15,2.25,3.16,0.7,0.29,2462669.0,M1200,0.6182011247886106
2009-03-01,1219,0.21,1.64,1.45,7.91,2.17,3.22,2.41,1.05,138.42,2.14,5.71,37.52,12.54,1.31,8.47,0.18,0.27,-6.34,-62.15,-47.76,-42.85,-42.85,-51.02,-5.93,-4.41,-0.76,328.95,171.89,61.16,38.84,63.5,188.85,1.84,2.72,2193595.0,69.2,9.44,1.62,-118255.0,91.8,2.71,4.41,0.69,0.24,2386471.0,M1200,0.41573355315884686
2009-03-01,1220,-0.17,-3.24,-3.16,-1.22,-9.52,-9.59,-9.17,-0.07,-14.76,-8.95,8.3,11.7,8.48,0.28,3.37,-0.32,-0.32,-23.4,-4863.12,-337.99,-417.73,-417.73,-357.48,-19.89,-15.02,-3.43,288.83,183.87,75.57,24.43,32.34,250.66,-3.21,-3.23,805817.0,52.82,4.46,1.08,-11286.0,126.77,1.41,3.56,0.68,0.4,1018193.0,M1200,0.6942036553524804
2009-03-01,1225,0.19,1.04,1.04,5.06,1.63,1.06,0.82,-0.57,149.06,0.82,3.39,17.82,11.61,1.91,16.75,0.27,0.18,-13.89,-72.66,-82.95,-82.67,-82.67,-82.61,-15.32,-12.57,-1.82,148.68,79.37,35.73,64.27,179.85,144.21,2.74,1.78,848433.0,101.22,9.2,1.77,-786015.0,69.01,5.08,3.81,0.71,0.11,1350410.0,M1200,0.8139492797336099
2009-03-01,1227,1.08,6.68,7.58,38.38,13.71,11.95,8.76,-1.76,155.55,9.94,24.68,40.31,16.7,3.74,12.44,1.71,1.49,19.04,15.37,7.6,7.86,7.86,13.08,10.27,10.44,0.19,193.01,124.12,59.77,40.23,67.31,266.98,17.02,14.83,2752537.0,73.1,6.89,1.74,95927.0,97.46,3.05,7.01,1.51,0.56,8022950.0,M1200,1.23076522769487
2009-03-01,1229,0.04,-0.01,0.0,3.55,-4.51,0.44,-0.18,4.95,44.05,-0.04,8.06,23.12,18.18,0.53,1.42,-0.06,0.01,-24.73,-388.91,-96.47,-101.83,-101.83,-100.42,-4.5,-11.59,-0.55,148.24,99.01,74.49,25.51,34.24,319.52,-0.66,0.07,870252.0,11.24,4.57,0.23,-213370.0,127.72,0.31,0.83,0.67,1.62,9522615.0,M1200,0.21653835632498342
2009-03-01,1231,0.16,0.98,0.0,26.68,0.09,2.27,1.69,2.18,100.33,0.01,26.59,-11.51,14.99,-0.64,8.78,0.01,0.2,-4.0,-96.45,-9.21,-8.4,-8.4,-99.74,-4.08,1.29,-0.06,277.47,142.41,61.9,38.1,61.55,262.15,0.08,1.99,1133318.0,74.71,6.2,1.4,4346.0,125.1,2.33,5.12,0.63,0.29,1089555.0,M1200,0.47726454574089905
2009-03-01,1232,1.03,6.07,4.56,8.28,5.08,6.88,5.16,1.81,258.31,3.88,3.21,17.12,17.34,1.27,19.93,1.01,1.37,-28.41,-40.2,2.99,0.32,0.32,-51.41,-9.63,1.33,0.02,221.9,100.61,69.79,30.21,43.29,236.45,10.12,13.72,1449941.0,73.43,19.49,3.2,7970.0,54.26,4.7,10.62,1.6,0.28,4447277.0,M1200,0.45132619445938893
2009-03-01,1233,0.62,4.47,4.47,59.92,13.44,14.59,12.37,1.16,128.91,12.37,46.48,36.01,14.21,0.87,4.99,0.67,0.74,-4.3,-6.12,5.47,3.49,3.49,2.7,-0.37,1.63,0.05,319.74,216.49,75.58,24.42,32.32,144.34,6.7,7.28,477410.0,33.02,8.47,1.07,-2154.0,115.57,1.44,2.02,1.87,1.36,2373484.0,M1200,0.6603784731110804
2009-03-01,1234,0.11,0.61,0.61,29.31,-0.91,8.89,5.9,9.8,96.98,5.87,30.22,15.24,17.69,0.26,1.83,-0.02,0.16,6.22,77.55,54.87,69.97,69.97,76.87,0.53,1.48,0.16,244.79,190.49,74.16,25.84,34.85,305.56,-0.17,1.63,1306979.0,8.94,9.51,0.31,8976.0,53.79,0.42,1.27,0.64,1.38,6108439.0,M1200,1.1810677130705196
2009-03-01,1235,-0.16,-1.26,-1.1,4.3,-5.41,-10.36,-8.55,-4.95,44.29,-7.49,9.71,9.47,13.21,0.44,1.86,-0.1,-0.2,-34.34,-160.78,-151.46,-147.42,-147.42,-165.68,-14.52,-17.66,-2.75,234.67,190.76,67.83,32.17,47.43,407.28,-1.0,-1.91,310009.0,33.63,2.5,0.39,-50410.0,202.82,0.59,2.39,2.49,3.66,1629443.0,M1200,0.05379739281951257
2009-03-01,1236,0.63,4.41,4.39,31.88,10.41,15.0,11.33,4.59,148.51,11.28,21.47,11.22,14.62,0.47,5.59,0.58,0.84,-17.21,-32.7,-5.31,-2.12,-2.12,-2.56,-4.48,5.9,-0.08,183.43,130.58,68.93,31.07,45.07,122.33,5.83,8.39,297207.0,35.68,5.51,1.02,-13456.0,73.91,1.56,1.87,0.96,0.62,1201757.0,M1200,0.5363369107073281
2009-03-01,1301,0.51,1.59,1.48,9.83,4.35,8.73,8.14,4.38,179.5,7.6,5.47,22.33,32.74,1.6,5.85,0.25,0.55,-31.36,-66.03,-61.12,-58.09,-58.09,-61.65,-16.65,-23.76,-1.13,193.54,152.16,63.41,36.59,57.69,239.6,2.72,5.46,38301167.0,11.72,17.69,0.49,-416056.0,42.06,0.78,1.38,1.56,1.59,292316068.0,M1300,0.3487458716415246
2009-03-01,1303,-0.46,-1.52,-1.58,1.66,-4.72,-10.18,-7.87,-5.46,25.94,-8.16,6.39,26.52,29.83,1.7,5.89,-0.28,-0.62,-49.84,-119.17,-147.26,-142.16,-142.16,-143.58,-15.03,-21.58,-3.11,285.06,218.35,60.38,39.62,65.63,205.02,-2.86,-6.18,90246254.0,23.41,6.44,0.46,-6751936.0,100.3,0.77,1.14,1.3,1.07,295795292.0,M1300,0.657288826716663
2009-03-01,1304,0.46,3.72,3.17,16.42,9.14,10.04,8.01,0.9,225.35,6.82,7.29,17.09,14.53,2.99,13.15,1.2,1.32,-33.24,-4.04,-8.37,-2.01,-2.01,15.4,-12.27,-12.91,-0.04,188.78,139.9,47.82,52.18,109.11,207.28,11.29,12.41,11269871.0,45.66,7.91,0.88,-594610.0,73.94,1.86,2.86,0.84,0.19,8832564.0,M1300,0.7625044480511027
2009-03-01,1305,0.63,6.32,6.2,21.93,12.26,13.63,12.3,1.37,226.79,12.07,9.67,15.79,11.3,0.8,5.75,0.7,0.78,-27.93,191.23,148.05,161.88,161.88,285.59,-12.52,-2.78,1.89,245.95,177.12,46.95,53.05,112.99,161.6,7.05,7.83,3149359.0,52.23,8.05,0.95,-6250.0,82.01,2.06,2.44,0.74,0.31,3559849.0,M1300,0.48973058168743533
