Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2010-03-31,1217,0.05,0.5,0.22,36.74,1.38,3.06,2.11,1.68,103.92,0.94,35.35,-8.98,10.35,-0.33,2.68,0.04,0.08,-8.9,-53.66,-67.77,-72.78,-72.78,-71.03,-0.81,1.66,-0.65,150.34,93.88,53.76,46.24,86.01,229.35,0.37,0.82,816189.0,31.18,6.65,0.52,-105170.0,104.45,0.96,1.46,1.25,1.11,5775188.0,M1200,0.9030431182350505
2010-03-31,1218,0.19,1.64,1.74,13.47,0.78,2.92,2.92,2.14,105.99,3.1,12.71,-10.9,11.97,-0.62,6.49,0.05,0.2,4.58,-62.56,29.81,30.82,30.82,46.71,-8.49,4.63,0.1,181.13,113.98,46.23,53.77,116.32,231.96,0.5,1.89,1411374.0,53.27,7.16,1.06,136416.0,71.3,2.25,3.28,1.11,0.48,4099110.0,M1200,0.6816954860090334
2010-03-31,1219,0.11,0.82,0.79,7.96,1.67,1.95,1.39,0.28,125.56,1.35,6.34,-13.12,13.34,-0.35,7.56,0.13,0.15,-7.51,-29.07,-43.99,-46.68,-46.68,-41.49,-1.34,6.38,-0.42,419.71,243.77,65.95,34.05,51.63,195.15,1.31,1.53,2346048.0,59.78,8.68,1.5,27596.0,83.24,2.35,4.13,0.94,0.37,3456268.0,M1200,0.7252487727212418
2010-03-31,1220,0.02,-0.04,-0.05,5.49,-1.13,-0.18,-0.11,0.95,82.93,-0.12,6.62,-3.39,8.59,-0.12,3.66,-0.04,-0.01,8.55,87.12,98.0,98.68,98.68,98.56,8.94,-0.15,2.37,245.38,170.7,69.26,30.74,44.38,282.03,-0.41,-0.06,904913.0,57.15,4.28,1.1,-9641.0,114.41,1.56,4.32,1.19,0.68,1815039.0,M1200,0.7500101259670298
2010-03-31,1225,0.24,1.83,1.85,5.75,1.91,1.72,1.41,-0.19,149.99,1.43,3.83,-6.53,12.65,-0.74,17.26,0.33,0.32,10.73,29.6,79.13,91.25,91.25,92.5,4.5,8.17,0.36,160.8,92.79,36.99,63.01,170.35,153.4,3.55,3.19,1114965.0,99.98,9.67,1.95,-880659.0,58.65,5.2,4.31,1.23,0.22,2538120.0,M1200,1.3785814866968056
2010-03-31,1227,1.96,10.24,10.41,41.76,19.06,18.23,14.78,-0.83,183.92,15.03,22.71,31.54,20.08,2.95,11.74,2.24,2.46,8.47,50.8,65.52,83.03,83.03,64.0,7.71,20.91,2.91,221.5,133.04,67.1,32.9,49.04,295.05,25.54,24.43,3632395.0,74.63,6.8,1.78,-38172.0,115.39,2.77,7.6,2.91,1.17,18706334.0,M1200,1.0462914331696647
2010-03-31,1229,0.25,1.08,1.1,10.51,2.81,13.92,12.83,11.1,136.58,13.12,7.69,0.64,20.13,0.02,1.76,0.05,0.25,24.17,177.51,3799.38,8909.82,8909.82,38907.8,15.5,13.47,0.92,134.63,96.04,73.18,26.82,36.65,387.84,0.5,2.46,753925.0,11.16,5.5,0.25,406092.0,96.23,0.34,1.07,0.77,2.22,12583701.0,M1200,0.3404260931496248
2010-03-31,1231,0.64,4.12,4.05,29.13,7.0,8.04,6.46,1.04,131.62,6.36,22.13,-22.7,15.64,-1.69,9.86,0.69,0.79,12.26,8864.08,298.02,329.24,329.24,89222.2,14.3,3.89,1.74,233.72,125.23,56.26,43.74,77.73,319.14,6.9,7.92,1146242.0,79.24,6.61,1.44,89041.0,121.22,2.55,6.35,0.91,0.44,1650492.0,M1200,0.5759685902659457
2010-03-31,1232,0.96,5.38,4.76,7.2,4.28,4.8,3.99,0.52,247.03,3.53,2.91,33.03,18.33,1.95,24.26,1.04,1.16,21.73,2.72,-15.1,-5.9,-5.9,10.86,-1.52,5.79,-0.18,301.98,160.84,74.98,25.02,33.38,281.35,10.39,11.65,1904147.0,67.19,20.1,3.92,-69513.0,42.69,5.39,14.55,2.24,0.4,6558934.0,M1200,0.5331962114135147
2010-03-31,1233,0.96,6.32,4.63,59.97,15.28,20.73,17.6,5.45,134.19,12.9,44.69,34.29,15.52,0.93,5.45,0.83,1.13,9.3,24.28,55.24,55.49,55.49,13.94,-1.25,10.84,1.89,307.87,221.1,84.83,15.17,17.88,174.3,8.33,11.3,509321.0,29.38,9.14,1.2,-26436.0,94.41,1.44,2.37,2.84,2.19,3986004.0,M1200,0.41568678811294424
2010-03-31,1234,0.12,0.66,0.65,30.12,-0.45,7.33,5.2,7.78,98.52,5.17,30.57,3.53,17.97,0.07,2.26,-0.01,0.17,23.17,39.08,1.55,8.64,8.64,8.37,2.71,1.58,0.03,256.22,206.93,73.34,26.66,36.35,311.3,-0.1,1.66,1674251.0,10.51,9.59,0.37,-9157.0,49.82,0.5,1.56,1.47,2.69,14199442.0,M1200,0.9141338436187743
2010-03-31,1235,0.01,0.05,0.06,11.2,-0.16,0.82,0.42,0.97,98.63,0.51,11.35,-7.06,17.0,-0.38,2.0,0.0,0.02,11.12,96.82,108.77,105.52,105.52,107.58,24.19,32.48,0.7,276.5,229.94,72.36,27.64,38.2,623.2,-0.03,0.16,483351.0,24.26,3.21,0.34,34363.0,163.23,0.47,2.98,2.04,4.26,1763035.0,M1200,0.07419212440780121
2010-03-31,1236,1.01,6.58,6.58,35.34,17.02,17.4,13.82,0.38,192.89,13.82,18.32,-11.03,15.83,-0.57,6.76,1.15,1.27,30.48,113.28,51.29,59.1,59.1,59.85,10.8,8.26,1.85,166.6,118.42,67.35,32.65,48.47,118.62,12.42,12.7,294910.0,44.07,6.85,1.26,-7842.0,63.53,1.9,2.22,1.4,1.0,1892128.0,M1200,0.4227626038181789
2010-03-31,1301,1.34,3.52,3.52,14.1,9.77,17.92,16.05,8.15,325.7,16.04,4.33,5.59,39.15,0.43,8.34,0.81,1.49,42.58,220.13,192.65,181.0,181.0,200.81,15.72,27.96,1.51,253.68,204.61,70.12,29.88,42.61,308.83,8.15,14.94,72724592.0,13.38,16.41,0.61,-447154.0,28.83,0.88,2.17,1.79,2.19,428463280.0,M1300,0.5578695692441178
2010-03-31,1303,1.15,3.43,3.42,16.31,11.0,14.46,11.82,3.45,307.16,11.8,5.31,11.53,33.21,0.82,9.92,1.09,1.43,68.43,492.72,339.19,353.06,353.06,343.57,10.49,13.89,3.0,300.61,226.87,62.23,37.77,60.69,238.91,10.92,14.35,112315757.0,28.56,8.2,0.72,1970538.0,66.11,1.16,2.03,1.95,1.84,508828910.0,M1300,0.6515586876737285
2010-03-31,1304,0.7,3.53,3.58,15.17,9.24,8.68,6.73,-0.56,256.11,6.83,5.92,-7.32,18.16,-1.56,15.91,1.47,1.55,35.45,37.07,17.15,13.81,13.81,35.55,13.75,18.27,0.19,195.46,135.53,49.72,50.28,101.11,237.04,15.48,14.54,14759450.0,55.13,8.59,1.05,-448435.0,64.19,2.1,4.0,1.24,0.33,16315173.0,M1300,0.9901976801176278
2010-03-31,1305,0.19,1.75,1.89,11.68,3.84,3.35,2.93,-0.49,148.96,3.17,7.84,3.51,11.78,0.26,7.15,0.27,0.24,24.47,-61.03,-69.45,-70.33,-70.33,-67.33,2.25,4.42,-1.97,173.83,112.63,47.95,52.05,108.56,143.31,2.75,2.39,2347292.0,53.79,9.45,1.13,62210.0,58.04,2.39,3.09,1.11,0.46,5543679.0,M1300,0.5399047772756618
2010-03-31,1307,1.03,5.89,5.89,29.74,14.37,14.23,14.46,-0.14,193.44,14.46,15.38,1.06,17.95,0.07,6.77,0.97,1.01,5.21,12.81,6.41,6.04,6.04,4.54,7.67,13.3,0.24,226.82,153.03,62.14,37.86,60.93,182.82,10.21,10.12,2671673.0,50.51,6.39,1.01,-10861.0,89.9,1.63,2.58,2.02,1.31,10755346.0,M1300,1.1440878742192546
2010-03-31,1308,0.94,3.71,3.9,23.5,19.78,20.55,16.57,0.76,632.22,17.46,3.72,23.5,25.81,0.72,4.74,0.94,1.17,47.43,76.25,26.17,23.97,23.97,55.33,24.63,25.06,0.67,466.83,386.44,85.81,14.19,16.54,1037.81,11.25,11.68,2918264.0,12.7,20.56,0.78,32512.0,28.89,0.89,9.53,1.13,1.42,7580046.0,M1300,0.7417179102657014
