證券代碼,簡稱,年月,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值
1439,中和,200903  ,0.09,0.65,0.66,14.35,5.6,16.08,16.08,10.49,163.93,16.33,8.75,47.34,14.53,0.05,0.59,0.03,0.09,-50.9,-49.26,39.13,39.13,39.13,41.23,0.49,0.73,0.12,3917.33,3769.42,79.58,20.42,25.66,107.2,0.33,0.94,374060,1.92,19.42,0.13,2340,37.92,0.16,0.17,0.72,2.91,966000
1440,南紡,200903  ,0.04,0.25,0.21,7.53,0.51,1.65,1.46,1.14,107.23,1.21,7.02,29.87,14.14,0.85,2.4,0.01,0.04,-13.34,-92.02,-58.59,-42.58,-42.58,-58.41,-7.2,-7.61,-0.16,147.9,81.08,70.5,29.5,41.84,145.5,0.12,0.39,2027773,17.19,13.19,0.48,-5096,80.18,0.68,0.98,0.51,0.7,10783243
1441,大東,200903  ,-0.22,-4.19,-6.98,0.37,-9.56,-7.11,-5.79,2.44,3.77,-9.63,9.93,2.69,5.07,0.23,5.07,-0.48,-0.27,-25.66,-227.34,-183.44,-183.78,-183.78,-331.91,-11.84,-25.93,-2.72,68.33,35.31,29.07,70.93,243.95,87.19,-3.54,-2.64,-286521,83.92,10.11,0.85,31165,77.36,2.9,2.18,0.65,0.2,351754
1442,名軒,200903  ,0.03,0.25,0.25,17.89,7.22,4.5,2.84,-2.72,167.66,2.83,10.67,-3.48,12.66,-0.31,1.14,0.08,0.05,38.83,-47.39,-67.68,-79.6,-79.6,-79.65,5.01,41.67,-0.47,187.75,20.95,57.87,42.13,72.79,2098.29,0.82,0.51,1358830,114.55,53.09,0.21,956,1327.93,0.36,7.33,0.86,1.08,1874967
1443,立益,200903  ,-0.11,-1.82,-1.82,-2.12,-9.2,-7.67,-7.67,1.53,-29.89,-7.67,7.08,-11.83,6.74,-1.46,1.72,-0.16,-0.13,-6.4,-4,54.19,54.19,54.19,54.07,-7,-7.5,0.32,66.13,16.71,34.39,65.61,190.77,62.86,-1.53,-1.27,-1209310,75.72,4.12,0.33,-35450,158.36,0.95,0.6,0.32,0.21,620245
1444,力麗,200903  ,0.05,0.49,0.58,8.06,1.15,2.46,2.46,1.31,117.14,2.9,6.88,16.98,9.81,0.89,2.03,0.02,0.05,-32.91,-82.46,-77.05,-74.5,-74.5,-32.96,-15.03,-11.78,-1.01,149.14,25.54,59.65,40.35,67.63,262.74,0.22,0.47,1905631,73.56,9.12,0.46,22634,355,0.8,1.85,0.47,0.48,3309951
1445,大宇,200903  ,0.09,0.72,0.73,10.13,1.29,3.25,3.11,1.96,114.57,3.14,8.84,41.65,12.52,0.44,2.98,0.04,0.09,-20.17,50.23,495.34,562.1,562.1,1270.93,-16.09,-5.63,0.38,643.84,420.94,84.99,15.01,17.66,208.4,0.37,0.93,843645,27.46,9,0.78,2317,95.82,0.92,1.9,0.54,0.5,994364
1446,宏和,200903  ,0.09,0.62,0.69,27.51,4.51,4.53,4.32,0.02,119.6,4.8,23,8.61,14.05,0.3,1.99,0.09,0.09,-31.02,-66.33,-67.87,-62.3,-62.3,-56.73,-2.68,1.13,-0.75,115.13,69.4,67.27,32.73,48.65,240.64,0.9,0.9,72550,14.51,7.94,0.38,16564,99.88,0.57,1.1,0.47,0.76,923216
1447,力鵬,200903  ,0.27,2.96,2.81,7.46,3.91,4.22,4.22,0.3,210.32,4.01,3.55,13.14,10.08,1.35,6.97,0.27,0.27,-37.41,500.02,211.81,277.08,277.08,245.6,-24.75,-30.11,2.04,69.75,45.13,46.2,53.8,116.44,96.11,2.28,2.46,-1851116,68.35,7.99,1.3,1304,52.09,2.81,2.53,0.49,0.15,2689808
1449,佳和,200903  ,-1.44,-19.86,-19.7,-16.43,-27.09,-29.77,-30.83,-2.68,-154.05,-30.58,10.66,-1.34,5.22,-0.23,8.54,-2.31,-1.91,-26.28,-39.85,-1618.04,-1833.84,-1833.84,-39.28,-25.9,-43.99,-4.76,113.18,26.62,21.06,78.94,374.73,112.53,-12.92,-14.2,427644,135.46,11.19,0.58,-1495137,129.7,2.58,1.49,0.38,0.06,366900
1451,年興,200903  ,0.4,2.18,1.66,11.82,4.58,9.78,8.25,5.19,163.34,6.29,7.24,14.01,18.83,0.7,4.81,0.22,0.47,-20.16,224.6,-0.44,-13.68,-13.68,196.8,-5.46,-4.45,-0.31,214.2,91.77,72.38,27.62,38.16,180.71,2.2,4.7,3366655,46.25,6.7,0.76,-108430,150.54,1.06,1.76,0.47,0.41,5233097
1452,宏益,200903  ,0.04,0.29,0.14,6.11,1.29,2.03,1.49,0.74,126.81,0.73,4.82,28.64,13.15,0.15,2.51,0.03,0.05,-47.77,-84.21,-77.59,-78.3,-78.3,-85.95,-15.26,-15.36,-0.97,1279.01,986.22,93.54,6.46,6.91,324.66,0.33,0.52,767373,18.82,9.03,0.73,-13975,79.19,0.78,2.49,0.47,0.49,772741
1453,大將,200903  ,0.16,1.35,1.3,19.35,10.72,8.18,8.18,-2.54,224.23,7.88,8.63,12.6,11.74,0.77,1.99,0.21,0.16,-74.29,-89.67,-92.04,-92.04,-92.04,-92.22,-13.29,-12.28,-9.89,178.16,51.63,61.97,38.03,61.37,199.6,2.13,1.62,195103,71.15,6.36,0.41,6502,482.82,0.66,1.3,0.66,0.72,315339
1454,台富,200903  ,-0.12,-1,-0.95,2.04,-5.55,-4.9,-3.73,0.65,26.81,-3.56,7.59,3.01,11.94,0.12,3.27,-0.18,-0.15,-33.25,-1163.69,-190.49,-139.58,-139.58,-140.52,-8.99,-0.06,-0.4,184.39,89.32,72.69,27.31,37.57,167.98,-1.61,-1.43,420825,38.31,7.91,0.77,-46603,111.36,1.07,1.76,0.5,0.36,762454
1455,集盛,200903  ,0.17,1.67,1.62,7.75,4.27,4.28,3.23,0.01,222.71,3.13,3.48,31.51,10.41,1.77,5.35,0.23,0.23,-34.37,16.78,166.64,80.15,80.15,243.63,-25.47,-15.15,0.35,89.51,38.68,58.96,41.04,69.61,103.99,2.28,2.29,-286307,40.89,14,1.19,121774,57.94,2.07,1.93,0.4,0.16,1991139
1456,怡華,200903  ,-0.55,-11.38,-11.37,-2.43,-9.65,-17.54,-17.68,-7.88,-33.61,-17.68,7.22,-5.37,4.37,-0.59,3.15,-0.3,-0.55,-34.75,-102.02,-174.81,-176.8,-176.8,-112.12,-22.4,-31.7,-6.15,87.66,20.34,22.28,77.72,348.93,68.6,-2.96,-5.38,-222550,124.37,6.12,0.59,25058,123.22,2.57,1.27,0.5,0.13,358450
1457,宜進,200903  ,0.06,0.62,0.59,4.39,0.28,2.32,2.32,2.04,106.94,2.22,4.1,4.25,13.18,0.39,4.26,0.01,0.09,-42.87,-90.45,-71.44,-71.44,-71.44,-35.72,-11.39,-10.18,-0.92,87.32,31.05,58.81,41.19,70.04,164.09,0.1,0.8,-239673,41.34,8.31,0.63,46397,125.06,1.07,1.66,0.38,0.24,995400
1459,聯發,200903  ,0.52,5.34,5.34,14.05,9.14,25.06,25.04,15.92,286.18,25.04,4.91,0.02,9.71,0,2.08,0.19,0.52,-11.37,151.61,999.14,941.24,941.24,1777.21,-10.89,-20.98,2.47,99.03,78.01,42.65,57.35,134.44,126.52,1.65,4.54,-14995,17.52,10.56,0.35,96442,70.01,0.85,0.58,0.69,0.72,1920548
1460,宏遠,200903  ,0.09,0.84,0.84,16.5,0.73,3.13,3.13,2.39,104.66,3.13,15.76,8.31,11.02,0.46,2.99,0.02,0.09,-13.78,13.03,424.32,3811.85,3811.85,214.6,3.48,-6.97,0.4,185.75,65.07,54.36,45.64,83.95,149.99,0.2,0.85,2152616,73.42,6.44,0.59,-127663,232.92,1.07,1.26,0.45,0.37,2219859
1463,強盛,200903  ,-0.03,-0.31,-0.31,12.6,-5.89,-3.45,-3.45,2.44,68.14,-3.45,18.49,-0.38,10.53,-0.01,0.96,-0.06,-0.03,-24.21,52.77,63.25,63.25,63.25,63.25,3.96,-6.63,0.19,267.85,139.3,74.99,25.01,33.35,250.35,-0.49,-0.29,778171,39.33,6.02,0.27,135241,398.36,0.36,0.89,0.36,0.89,621753
1464,得力,200903  ,-0.04,0.24,0.19,17.23,-1.73,1.12,1,2.85,90.89,0.78,18.96,4.09,11.52,0.34,4.38,-0.08,0.05,-24.63,75.78,110.6,109.77,109.77,107.18,-4.94,-0.18,1.43,153.28,59.63,65.67,34.33,52.27,133.68,-0.7,0.46,674802,52.29,6.2,0.62,29625,198.46,0.97,1.29,0.45,0.23,796221
1465,偉全,200903  ,0.11,0.4,0.31,7.83,-1.02,1.77,1.62,2.79,88.48,1.26,8.85,16.98,18.81,1.28,6.07,-0.06,0.11,-28.68,-130.22,-33.76,-39.45,-39.45,-51.38,13.04,4.96,0.06,257.61,119.81,73.82,26.18,35.47,198.44,-0.62,1.07,1026756,46.08,6.59,0.73,-45185,165.17,0.98,1.87,0.44,0.31,720067
1466,聚隆,200903  ,-0.23,-3.66,-3.66,4.52,-1.5,-1.87,-2.66,-0.37,75.1,-2.66,6.01,10.88,6.2,1.3,8.68,-0.13,-0.16,-42.87,-145.05,-226.37,-261.32,-261.32,-263.91,-22.89,-31.18,-2.06,84.04,35.75,27.35,72.65,265.69,103.74,-1.3,-1.62,-136301,150.88,9.05,1.54,2820,53.71,5.49,3.5,0.61,0.08,270637
1467,南緯,200903  ,0.26,2.3,2.42,17.64,0.59,1.73,2.72,1.14,103.48,2.86,17.05,5.82,10.21,0.5,9.1,0.05,0.16,-18.73,125.63,160.24,206.29,206.29,212.93,7.83,-5.38,1.74,189.97,101.29,37.75,62.25,164.92,268.92,0.54,1.58,1278859,82.42,9.08,1.23,-168132,79.92,3.38,5.04,0.51,0.13,857537
1468,昶和,200903  ,-0.09,-0.91,-0.91,7.59,-8.3,-6.48,-6.48,1.81,47.79,-6.48,15.89,3.37,11.22,0.21,1.73,-0.14,-0.11,-23.1,8.12,38.78,36.37,36.37,36.37,-1.04,0.21,0.41,142.4,28.27,57.18,42.82,74.9,129.06,-1.43,-1.12,430393,62.06,7.22,0.32,3702,349.06,0.56,0.59,0.93,1.22,1668212
1470,大統新創,200903  ,0.08,0.92,0.92,14.34,5.98,5.32,4.39,-0.66,171.58,4.39,8.36,47.11,9.14,0.41,1.91,0.11,0.1,-17.09,53.76,30.07,44.18,44.18,61.65,6.65,8.43,0.24,530.79,370.7,89.78,10.22,11.38,211.01,1.15,1.02,323867,29.71,4.99,0.76,-1215,113.41,0.84,1.75,0.98,1.07,771045
1471,首利,200903  ,0.17,1.3,1.46,7.22,0.42,1.9,1.7,1.49,106.16,1.91,6.8,-8.72,13.26,-1.12,8.89,0.04,0.19,-23.13,209.77,130.62,127.3,127.3,128.35,-20.32,-2.99,3.54,115.96,89.52,50.48,49.52,98.09,130.99,0.42,1.89,315832,95.96,4.8,1.6,-5153,30.94,3.07,3.93,0.85,0.26,1733279
1472,三洋紡,200903  ,-0.82,-10.56,-7.47,-21.84,-32.24,-50.45,-50.45,-18.21,-209.89,-35.67,10.4,5.29,9.31,0.5,2.18,-0.7,-1.1,-52.49,-31.75,-61.59,-61.59,-61.59,-14.76,-12.94,-24.31,-1.91,72.24,21.69,45.25,54.75,121.01,78.78,-6.59,-10.31,-215614,54.89,8.7,0.39,-6145,143.72,0.84,0.6,0.29,0.19,221375
1473,台南,200903  ,0.51,1.73,2.28,23.18,6.86,5.5,3.35,-1.35,142,4.41,16.33,21.32,29.04,2.61,16.3,1.12,0.94,-18.88,-7.4,-11.54,-31.56,-31.56,-24.41,-1.76,5.33,-0.38,300.4,209.26,67.51,32.49,48.14,329.16,11.73,9.42,3433748,58.78,6.97,1.36,29294,91.93,2.07,6.42,0.62,0.29,2530923
1474,弘裕,200903  ,0.07,0.56,0.56,8.72,1.51,2.3,1.64,0.79,120.89,1.64,7.21,1.92,12.89,0.16,4.39,0.07,0.1,-31.17,1154.63,183.79,176.76,176.76,165.67,-3.35,7.67,0.72,161.11,87.18,53.97,46.03,85.27,180.42,0.66,1.01,690698,71.71,4.72,0.76,50376,142.72,1.37,2.1,0.36,0.21,643872
1475,業旺,200903  ,-0.37,-8.88,-9.49,-8.99,-22.16,-18.69,-18.69,3.47,-68.27,-19.96,13.17,15.69,5.05,2.34,4.34,-0.96,-0.49,-56.43,-13.72,5.65,9.07,9.07,2.88,-24.66,-37.79,-0.02,55.64,30.08,26.03,73.97,284.21,48.4,-5.77,-4.86,-512227,119.28,2.19,0.47,9359,172.42,1.9,0.96,1.52,0.4,594448
1476,儒鴻,200903  ,0.57,3.74,3.74,24.49,10.1,11.12,7.27,1.02,170.21,7.27,14.39,8.46,15.47,0.79,7.65,0.77,0.87,4.62,131.94,16025.6,2354.42,2354.42,750.78,2.94,4.79,2.4,113.43,61.04,57.08,42.92,75.19,118.11,7.88,8.67,239254,54.98,7.27,1.15,-62823,75.67,2.06,2.23,0.78,0.34,2295201
1477,聚陽,200903  ,1.29,6.36,6.51,22.18,8.97,8.76,7.05,-0.21,167.94,7.21,13.21,-31,21.15,-4.23,18.12,1.63,1.61,-11.83,-9.26,34.15,53.63,53.63,51.66,-9.88,-8.13,1.03,185.23,49.16,60.72,39.28,64.69,276.16,16.45,16.06,1761915,41.98,32.5,2.24,-19705,25.31,3.61,9.37,1.56,0.39,5002437
1503,士電,200903  ,0.39,1.66,1.56,17.52,6.21,7.3,6.13,1.08,154.97,5.79,11.3,-1.19,25.4,-0.2,6.78,0.42,0.49,-19.6,-33.42,-20.02,-16.36,-16.36,-16.72,3.36,-4.84,-0.14,124.85,49.66,50.08,49.92,99.69,153.24,4.22,4.95,2204693,68.97,4.04,0.53,650821,216.65,1.08,1.37,1.26,1,16619007
1504,東元,200903  ,0.11,0.61,0.66,24.17,6.32,4.75,2.36,-1.57,135.39,2.53,17.85,6.5,18.82,0.52,5.03,0.32,0.24,-20.4,-42.39,-49.42,-62.85,-62.85,-51.58,-3.89,-5.82,-0.58,195.88,101.65,53.89,46.11,85.56,302.05,3.14,2.36,13921139,56.13,4.68,0.55,-608696,156.59,1.04,2.29,0.59,0.46,20054815
1506,正道,200903  ,-0.26,-2.3,-3.77,-1.31,-19.4,-9.11,-9.93,10.29,-7.25,-16.26,18.09,0.92,8.09,0.13,2.44,-0.47,-0.22,-27.08,-1117.83,-173.53,-100.12,-100.12,-103.56,-11.05,-17.28,-0.62,73.65,24.14,36.32,63.68,175.33,93.62,-4.73,-2.22,-386351,76.81,5.02,0.34,-5285,261.42,0.93,0.82,1.63,1.07,1344601
