證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
5608,四維航,202003  ,M2600,M2600,26A,26A1
5871,中租-KY,202003  ,M9900,M9900,28K,28K
5880,合庫金,202003  ,M2800,M28HO,28L,28L
5907,大洋-KY,202003  ,M2900,M2900,29A,29A1
6005,群益證,202003  ,M2800,M3000,30A,30A
6108,競國,202003  ,M2300,M2328,23B,23B2D
6116,彩晶,202003  ,M2300,M2326,23C,23C8A
6117,迎廣,202003  ,M2300,M2325,23D,23D4
6131,鈞泰,202003  ,M2300,M2326,23C,23C9
6168,宏齊,202003  ,M2300,M2326,23C,23C6C
6141,柏承,202003  ,M2300,M2328,23B,23B2D
5906,台南-KY,202003  ,M2900,M2900,14C,14C1
6024,群益期,202003  ,M2800,M3000,30C,30C
6115,鎰勝,202003  ,M2300,M2328,23D,23D2
6142,友勁,202003  ,M2300,M2327,23E,23E2
6139,亞翔,202003  ,M2300,M2331,23H,23H1
6120,達運,202003  ,M2300,M2326,23C,23C8B
6166,凌華,202003  ,M2300,M2325,23B,23B5B
5876,上海商銀,202003  ,M2800,M2810,28A,28A
6172,互億,202003  ,M2300,M2325,23E,23E1
6176,瑞儀,202003  ,M2300,M2326,23C,23C8B
6177,達麗,202003  ,M2500,M2500,25A,25A
6112,聚碩,202003  ,M2300,M2330,23X,23X1
6183,關貿,202003  ,M2300,M2330,23K,23K4
6152,百一,202003  ,M2300,M2327,23K,23K2
6153,嘉聯益,202003  ,M2300,M2328,23B,23B2C
6128,上福,202003  ,M2300,M2325,23C,23C3
6133,金橋,202003  ,M2300,M2328,23D,23D2
6136,富爾特,202003  ,M2300,M2327,23T,23T2
6155,鈞寶,202003  ,M2300,M2328,23D,23D5
6164,華興,202003  ,M2300,M2326,23C,23C6C
6165,浪凡,202003  ,M2300,M2328,23D,23D2
6209,今國光,202003  ,M2300,M2326,23U,23U1
6196,帆宣,202003  ,M2300,M2331,23H,23H1
6214,精誠,202003  ,M2300,M2330,23X,23X1
6215,和椿,202003  ,M2300,M2331,23H,23H2
